,oid,ent,sectionId,EP_1,EP_2
693,1,9,5761,5761,5761
694,1,1,5764,5764,5764
695,1,2,5767,5767,5767
696,1,3,5762,5762,5762
697,1,4,5462,5462,5462
698,1,5,5458,5458,5458
699,1,6,5461,5461,5461
700,1,7,5464,5464,5464
701,1,8,5459,5459,5459
702,1,9,5462,5462,5462
703,1,1,5465,5465,5465
704,1,2,5460,5460,5460
705,1,3,5060,5060,5060
706,1,4,5056,5056,5056
707,1,5,5059,5059,5059
708,1,6,5062,5062,5062
709,1,7,5057,5057,5057
710,1,8,5060,5060,5060
711,1,9,5063,5063,5063
712,1,1,5058,5058,5058
713,1,2,4557,4557,4557
714,1,3,4553,4553,4553
715,1,4,4556,4556,4556
716,1,5,4559,4559,4559
717,1,6,4554,4554,4554
718,1,7,4557,4557,4557
719,1,8,4560,4560,4560
720,1,9,4555,4555,4555
721,1,1,4156,4156,4156
722,1,2,4152,4152,4152
723,1,3,4155,4155,4155
724,1,4,4158,4158,4158
725,1,5,4153,4153,4153
726,1,6,4156,4156,4156
727,1,7,4159,4159,4159
728,1,8,4154,4154,4154
729,1,9,3955,3955,3955
730,1,1,3951,3951,3951
731,1,2,3954,3954,3954
732,1,3,3957,3957,3957
733,1,4,3952,3952,3952
734,1,5,3955,3955,3955
735,1,6,3958,3958,3958
736,1,7,3953,3953,3953
737,1,8,3855,3855,3855
738,1,9,3851,3851,3851
739,1,1,3854,3854,3854
740,1,2,3857,3857,3857
741,1,3,3852,3852,3852
742,1,4,3855,3855,3855
743,1,5,3858,3858,3858
744,1,6,3853,3853,3853
745,1,7,3855,3855,3855
746,1,8,3851,3851,3851
747,1,9,3854,3854,3854
748,1,1,3857,3857,3857
749,1,2,3852,3852,3852
750,1,3,3855,3855,3855
751,1,4,3858,3858,3858
752,1,5,3853,3853,3853
753,1,6,4057,4057,4057
754,1,7,4053,4053,4053
755,1,8,4056,4056,4056
756,1,9,4059,4059,4059
757,1,1,4054,4054,4054
758,1,2,4057,4057,4057
759,1,3,4060,4060,4060
760,1,4,4055,4055,4055
761,1,5,4459,4459,4459
762,1,6,4455,4455,4455
763,1,7,4458,4458,4458
764,1,8,4461,4461,4461
765,1,9,4456,4456,4456
766,1,1,4459,4459,4459
767,1,2,4462,4462,4462
768,1,3,4457,4457,4457
769,1,4,4962,4962,4962
770,1,5,4958,4958,4958
771,1,6,4961,4961,4961
772,1,7,4964,4964,4964
773,1,8,4959,4959,4959
774,1,9,4962,4962,4962
775,1,1,4965,4965,4965
776,1,2,4960,4960,4960
777,1,3,5566,5566,5566
778,1,4,5562,5562,5562
779,1,5,5565,5565,5565
780,1,6,5568,5568,5568
781,1,7,5563,5563,5563
782,1,8,5566,5566,5566
783,1,9,5569,5569,5569
784,1,1,5564,5564,5564
785,1,2,5969,5969,5969
786,1,3,5965,5965,5965
787,1,4,5968,5968,5968
788,1,5,5971,5971,5971
